City,Region,Country,AirQuality,WaterPollution,AirQuality_norm,WaterPollution_norm,AirQuality_log,WaterPollution_log,EnvScore
Atlanta,Georgia,united states of america,59.6875,46.57534247,0.596875,0.46575342470000003,4.105737746051544,3.862314611684943,13.112157529999998
Podgorica,Podgorica Municipality,montenegro,51.13636364,38.88888889,0.5113636364,0.38888888889999995,3.953862663840802,3.6860978111799145,12.247474750000002
Wellington,Wellington Region,new zealand,95.68965517,27.40384615,0.9568965517,0.2740384615,4.571506418143042,3.3465245638145427,68.28580901999999
Las Vegas,Nevada,united states of america,51.72413793,49.69135802,0.5172413793,0.49691358020000004,3.9650733759229677,3.9257554428138928,2.032779909999995
Vancouver,British Columbia,canada,80.56930693,31.66666667,0.8056930693,0.31666666670000004,4.40145305064773,3.486355190104503,48.90264026
Liverpool,England,united kingdom,71.66666667,20.0,0.7166666667,0.2,4.285882774166851,3.044522437723423,51.66666667
Albany,New York,united states of america,87.5,31.25,0.875,0.3125,4.483002552013883,3.4735180432417816,56.25
Harrisburg,Pennsylvania,united states of america,82.5,37.5,0.8250000000000001,0.375,4.42484663185681,3.6506582412937387,45.0
Da Lat,L?m ???g,vietnam,62.5,54.16666667,0.625,0.5416666667,4.151039905898646,4.010358906209431,8.333333330000002
Uppsala,Uppsala County,sweden,88.54166667,7.894736842,0.8854166667,0.07894736842000001,4.494704066331791,2.1854597357447987,80.646929828
Gothenburg,Vastra Gotaland County,sweden,82.25806452,20.53571429,0.8225806452000001,0.2053571429,4.421944995279961,3.0697126867509867,61.72235023
Raciborz,Silesian Voivodeship,poland,62.5,50.0,0.625,0.5,4.151039905898646,3.9318256327243257,12.5
Trenton,New Jersey,united states of america,85.0,100.0,0.85,1.0,4.454347296253507,4.61512051684126,-15.0
Newark,New Jersey,united states of america,50.0,62.5,0.5,0.625,3.9318256327243257,4.151039905898646,-12.5
Kosice,Kosice Region,slovakia,52.38095238,35.29411765,0.5238095238,0.35294117649999995,3.9774539853308957,3.591655679930209,17.08683473
Helsingborg,Skane County,sweden,31.25,35.0,0.3125,0.35000000000000003,3.4735180432417816,3.58351893845611,-3.75
Vasteras,Vastmanland County,sweden,80.76923077,16.66666667,0.8076923077,0.16666666670000002,4.403901020889818,2.8716796250726913,64.1025641
Linkoping,Ostergotland County,sweden,85.0,0.0,0.85,0.0,4.454347296253507,0.0,85.0
Funchal,Madeira,portugal,84.09090909,31.94444444,0.8409090909,0.3194444444,4.443720203668538,3.4948226409666536,52.14646465
Batumi,Adjara,georgia,90.625,25.0,0.90625,0.25,4.517704160206816,3.258096538021482,65.625
Umea,Vasterbotten County,sweden,97.22222222,0.0,0.9722222222000001,0.0,4.5872324852788,0.0,97.22222222
St. Gallen,Canton of St. Gallen,switzerland,96.875,0.0,0.96875,0.0,4.5836911543109675,0.0,96.875
